Alg_1;File_1;Alg_2;File_2;A2A;CVG_A->B;CVG_B->A
Limbo;luccodecs-9.0.0_IL_50_clusters.rsf;WCA_UEM;luccodecs-9.0.0_UEM_50_clusters.rsf;82,02479338842976;0.0;0.0
Limbo;luccodecs-9.0.0_IL_50_clusters.rsf;WCA_UEMNM;luccodecs-9.0.0_UEMNM_50_clusters.rsf;82,23140495867769;0.0;0.0
WCA_UEM;luccodecs-9.0.0_UEM_50_clusters.rsf;ACDC;acdc.rsf;78,58719646799118;0.02;0.05263157894736842
WCA_UEMNM;luccodecs-9.0.0_UEMNM_50_clusters.rsf;ACDC;acdc.rsf;78,1456953642384;0.02;0.05263157894736842
Limbo;luccodecs-9.0.0_IL_50_clusters.rsf;ACDC;acdc.rsf;78,80794701986756;0.0;0.0
